trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
364,False,"{'a': 0.995, 'e': 4.838632589070168}",25,7,-126.88982468496204,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 2}",1
365,False,"{'a': 0.995, 'e': 4.814439426124817}",30,0,-153.69519989863787,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
366,False,"{'a': 0.995, 'e': 4.790367228994193}",25,0,-171.42870154508665,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
367,False,"{'a': 0.995, 'e': 4.766415392849222}",30,0,-87.98789079474344,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
368,False,"{'a': 0.995, 'e': 4.742583315884976}",25,0,-293.398282537341,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 5}",0
369,False,"{'a': 0.995, 'e': 4.718870399305551}",20,6,-42.007946025069906,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
370,False,"{'a': 0.995, 'e': 4.695276047309023}",20,0,-148.8818629476859,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
371,False,"{'a': 0.995, 'e': 4.671799667072478}",25,0,-100.33839624053971,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
372,False,"{'a': 0.995, 'e': 4.648440668737115}",20,3,-8.533001904846985,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.995, 'e': 4.62519846539343}",25,0,-125.13798906798596,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
374,False,"{'a': 0.995, 'e': 4.602072473066462}",25,0,-66.75648018683329,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
375,False,"{'a': 0.995, 'e': 4.57906211070113}",20,0,-177.75737271544523,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
376,False,"{'a': 0.995, 'e': 4.556166800147624}",20,2,-187.44439369088062,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 4}",1
377,False,"{'a': 0.995, 'e': 4.533385966146886}",20,0,-65.3893761856672,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
378,False,"{'a': 0.995, 'e': 4.510719036316152}",25,0,-97.22699878558556,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
379,False,"{'a': 0.995, 'e': 4.488165441134571}",25,0,-121.15080707522372,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
380,False,"{'a': 0.995, 'e': 4.465724613928898}",20,0,-42.22581753917757,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
381,False,"{'a': 0.995, 'e': 4.443395990859253}",20,0,-92.89511920856256,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
382,False,"{'a': 0.995, 'e': 4.4211790109049565}",20,0,-79.42557542487049,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
383,False,"{'a': 0.995, 'e': 4.399073115850432}",20,0,-92.51083777614932,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
384,False,"{'a': 0.995, 'e': 4.37707775027118}",20,0,-30.083087241232427,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
385,False,"{'a': 0.995, 'e': 4.3551923615198245}",25,0,-105.58594159993775,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
386,False,"{'a': 0.995, 'e': 4.333416399712226}",20,0,-68.17031255324099,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
387,False,"{'a': 0.995, 'e': 4.311749317713665}",20,5,-33.5088326099663,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
388,False,"{'a': 0.995, 'e': 4.2901905711250965}",25,0,-175.19048769294122,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
389,False,"{'a': 0.995, 'e': 4.268739618269471}",30,0,-95.70663088577527,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
390,False,"{'a': 0.995, 'e': 4.247395920178124}",20,10,-65.3996775811126,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
391,False,"{'a': 0.995, 'e': 4.226158940577234}",20,0,-112.34758211513292,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
392,False,"{'a': 0.995, 'e': 4.205028145874348}",25,0,-118.52982153371929,"{0: 18, 1: 4, 2: 0, 3: 0, 4: 3}",0
393,False,"{'a': 0.995, 'e': 4.184003005144976}",25,0,-92.71852191101453,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
394,False,"{'a': 0.995, 'e': 4.163082990119251}",20,0,-117.7230021798562,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
395,False,"{'a': 0.995, 'e': 4.142267575168654}",20,0,-99.05522904737977,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
396,False,"{'a': 0.995, 'e': 4.121556237292811}",20,0,-98.65782147460159,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
397,False,"{'a': 0.995, 'e': 4.100948456106347}",25,0,-27.60232823621528,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
398,False,"{'a': 0.995, 'e': 4.080443713825815}",20,0,-95.7155381267566,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
399,False,"{'a': 0.995, 'e': 4.060041495256686}",30,0,-177.9113808917694,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
400,False,"{'a': 0.995, 'e': 4.039741287780403}",20,0,-150.59318712136292,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
401,False,"{'a': 0.995, 'e': 4.0195425813415016}",20,0,-116.41253922193587,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
402,False,"{'a': 0.995, 'e': 3.999444868434794}",25,0,-22.153002980694293,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
